phase,patterns,corpus,searcher,threads_label,tag,log_file,automaton_states,bytes,iters,matches,pattern_count,thr,warmup,wrk,automaton_kib,build_ms,cv_pct,gbps,max_ms,mbps,mean_ms,median_ms,min_ms,build_threads
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T1.log,508896,1421183736,5,58367984,44678,1,2,1,518942.72,491.127,0.31,1.1945,9560.288,142.4,9518.189,9506.066,9488.759,
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,10,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T10.log,508896,1421183736,5,58367984,44678,10,2,10,518942.72,530.558,1.04,1.5951,7250.697,190.16,7127.564,7096.825,7063.967,
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,12,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T12.log,508896,1421183736,5,58367984,44678,12,2,12,518942.72,555.268,1.89,1.5416,7549.837,183.77,7375.078,7399.715,7185.025,
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,2,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T2.log,508896,1421183736,5,58367984,44678,2,2,2,518942.72,544.356,8.9,1.5827,7753.628,188.67,7183.551,7582.451,6397.612,
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,4,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T4.log,508896,1421183736,5,58367984,44678,4,2,4,518942.72,484.315,1.34,1.6302,7064.51,194.34,6974.148,7018.399,6830.137,
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,6,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T6.log,508896,1421183736,5,58367984,44678,6,2,6,518942.72,518.65,9.75,1.7378,7257.647,207.16,6542.6,6439.984,5637.67,
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,8,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T8.log,508896,1421183736,5,58367984,44678,8,2,8,518942.72,518.808,10.36,1.9167,6667.234,228.49,5931.752,6166.905,5087.59,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T1.log,508896,1421183736,5,58367984,44678,1,2,1,518942.72,491.052,0.31,1.1881,9601.484,141.63,9569.754,9565.386,9527.92,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,10,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T10.log,508896,1421183736,5,58367984,44678,10,2,10,518942.72,525.863,21.78,2.8253,5292.481,336.81,4024.126,3690.171,3147.673,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,12,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T12.log,508896,1421183736,5,58367984,44678,12,2,12,518942.72,489.894,2.51,2.4246,4829.087,289.03,4689.305,4678.476,4540.868,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,2,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T2.log,508896,1421183736,5,58367984,44678,2,2,2,518942.72,516.074,7.07,1.5556,7705.894,185.45,7308.503,7652.897,6605.861,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,4,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T4.log,508896,1421183736,5,58367984,44678,4,2,4,518942.72,525.658,13.17,2.1717,6298.317,258.89,5235.261,4859.134,4611.762,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,6,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T6.log,508896,1421183736,5,58367984,44678,6,2,6,518942.72,490.841,3.13,2.0384,5723.623,243.0,5577.645,5635.1,5285.159,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,8,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T8.log,508896,1421183736,5,58367984,44678,8,2,8,518942.72,529.086,3.29,2.0482,5714.288,244.16,5550.975,5625.971,5244.133,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked__T1.log,508896,1421183736,5,58367984,44678,1,2,1,518942.72,485.224,0.32,1.0965,10413.052,130.71,10368.987,10369.556,10321.025,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked,10,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked__T10.log,508896,1421183736,5,58367984,44678,10,2,10,518942.72,585.639,0.98,1.8895,6094.775,225.25,6017.086,6006.265,5948.985,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked,12,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked__T12.log,508896,1421183736,5,58367984,44678,12,2,12,518942.72,520.165,20.67,2.5895,5323.747,308.69,4390.61,4159.809,3228.264,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked,2,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked__T2.log,508896,1421183736,5,58367984,44678,2,2,2,518942.72,498.77,14.54,1.7931,7961.484,213.75,6340.851,5934.904,5786.774,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked,4,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked__T4.log,508896,1421183736,5,58367984,44678,4,2,4,518942.72,483.517,1.22,1.6762,6872.057,199.82,6782.712,6794.911,6658.216,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked,6,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked__T6.log,508896,1421183736,5,58367984,44678,6,2,6,518942.72,503.489,21.78,2.2725,6234.643,270.9,5003.129,4372.217,4073.005,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked,8,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked__T8.log,508896,1421183736,5,58367984,44678,8,2,8,518942.72,503.416,1.45,1.7894,6478.013,213.31,6353.888,6332.189,6262.337,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_flat,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_flat__T1.log,508896,1421183736,5,58367984,44678,1,2,1,518942.72,499.291,0.22,1.1871,9600.642,141.51,9577.7,9586.849,9553.321,
