phase,patterns,corpus,searcher,threads_label,tag,log_file,automaton_states,bytes,iters,matches,pattern_count,thr,warmup,wrk,automaton_kib,build_ms,cv_pct,gbps,max_ms,mbps,mean_ms,median_ms,min_ms,build_threads
B_footprint,patterns_et_32,enron_corpus,pthread_chunked_flat,1,,runs/i5/B_footprint/patterns_et_32__enron_corpus__pthread_chunked_flat__T1.log,508896,1421183736,5,58367984,44678,1,2,1,518942.72,492.386,0.41,1.1912,9609.482,142.0,9544.928,9528.007,9511.786,
B_footprint,patterns_et_32,enron_corpus,pthread_chunked_flat,12,,runs/i5/B_footprint/patterns_et_32__enron_corpus__pthread_chunked_flat__T12.log,508896,1421183736,5,58367984,44678,12,2,12,518942.72,487.437,21.09,3.0099,4320.65,358.81,3777.316,4286.696,2506.549,
B_footprint,patterns_et_32,enron_corpus,pthread_chunked_v3,1,,runs/i5/B_footprint/patterns_et_32__enron_corpus__pthread_chunked_v3__T1.log,508896,1421183736,5,58367984,44678,1,2,1,518942.72,486.716,2.04,1.0837,10868.443,129.19,10491.372,10408.15,10344.084,
B_footprint,patterns_et_32,enron_corpus,pthread_chunked_v3,12,,runs/i5/B_footprint/patterns_et_32__enron_corpus__pthread_chunked_v3__T12.log,508896,1421183736,5,58367984,44678,12,2,12,518942.72,508.205,24.36,2.7724,5298.226,330.5,4100.88,3780.83,3083.015,
B_footprint,patterns_et_32,enron_corpus,sequential,0,,runs/i5/B_footprint/patterns_et_32__enron_corpus__sequential__T0.log,508896,1421183736,5,58367984,44678,0,2,1,518942.72,500.22,1.89,1.0535,10979.678,125.59,10791.703,10846.291,10442.537,
B_footprint,patterns_et_32,enron_corpus,sequential_flat,0,,runs/i5/B_footprint/patterns_et_32__enron_corpus__sequential_flat__T0.log,508896,1421183736,5,58367984,44678,0,2,1,518942.72,486.322,0.53,1.191,9622.775,141.97,9546.39,9543.617,9496.607,
B_footprint,patterns_snort_100,enron_corpus,pthread_chunked_flat,1,,runs/i5/B_footprint/patterns_snort_100__enron_corpus__pthread_chunked_flat__T1.log,1939,1421183736,5,141504,100,1,2,1,1976.32,1.397,0.26,4.0984,2780.408,488.57,2774.114,2777.672,2762.029,
B_footprint,patterns_snort_100,enron_corpus,pthread_chunked_flat,12,,runs/i5/B_footprint/patterns_snort_100__enron_corpus__pthread_chunked_flat__T12.log,1939,1421183736,5,141504,100,12,2,12,1976.32,1.368,46.98,11.9987,1287.48,1430.36,947.556,1232.908,338.207,
B_footprint,patterns_snort_100,enron_corpus,pthread_chunked_v3,1,,runs/i5/B_footprint/patterns_snort_100__enron_corpus__pthread_chunked_v3__T1.log,1939,1421183736,5,141504,100,1,2,1,1976.32,1.344,0.41,4.0708,2805.834,485.27,2792.951,2790.539,2778.203,
B_footprint,patterns_snort_100,enron_corpus,pthread_chunked_v3,12,,runs/i5/B_footprint/patterns_snort_100__enron_corpus__pthread_chunked_v3__T12.log,1939,1421183736,5,141504,100,12,2,12,1976.32,1.322,8.94,27.0816,461.213,3228.38,419.822,405.895,385.745,
B_footprint,patterns_snort_100,enron_corpus,sequential,0,,runs/i5/B_footprint/patterns_snort_100__enron_corpus__sequential__T0.log,1939,1421183736,5,141504,100,0,2,1,1976.32,1.402,0.45,4.0529,2819.36,483.14,2805.265,2808.736,2788.195,
B_footprint,patterns_snort_100,enron_corpus,sequential_flat,0,,runs/i5/B_footprint/patterns_snort_100__enron_corpus__sequential_flat__T0.log,1939,1421183736,5,141504,100,0,2,1,1976.32,1.367,0.51,4.0944,2799.269,488.09,2776.831,2770.265,2764.747,
B_footprint,patterns_snort_1k,enron_corpus,pthread_chunked_flat,1,,runs/i5/B_footprint/patterns_snort_1k__enron_corpus__pthread_chunked_flat__T1.log,11974,1421183736,5,9401612,997,1,2,1,12206.08,28.059,0.44,2.9397,3896.315,350.43,3867.614,3864.446,3854.389,
B_footprint,patterns_snort_1k,enron_corpus,pthread_chunked_flat,12,,runs/i5/B_footprint/patterns_snort_1k__enron_corpus__pthread_chunked_flat__T12.log,11974,1421183736,5,9401612,997,12,2,12,12206.08,10.171,66.23,9.3006,2165.806,1108.71,1222.45,674.367,607.16,
B_footprint,patterns_snort_1k,enron_corpus,pthread_chunked_v3,1,,runs/i5/B_footprint/patterns_snort_1k__enron_corpus__pthread_chunked_v3__T1.log,11974,1421183736,5,9401612,997,1,2,1,12206.08,10.639,0.49,2.8073,4074.131,334.66,4049.979,4054.971,4028.46,
B_footprint,patterns_snort_1k,enron_corpus,pthread_chunked_v3,12,,runs/i5/B_footprint/patterns_snort_1k__enron_corpus__pthread_chunked_v3__T12.log,11974,1421183736,5,9401612,997,12,2,12,12206.08,9.669,68.06,10.7692,2329.14,1283.79,1055.735,693.839,663.264,
B_footprint,patterns_snort_1k,enron_corpus,sequential,0,,runs/i5/B_footprint/patterns_snort_1k__enron_corpus__sequential__T0.log,11974,1421183736,5,9401612,997,0,2,1,12206.08,10.263,0.37,2.8294,4032.668,337.3,4018.268,4021.418,3997.944,
B_footprint,patterns_snort_1k,enron_corpus,sequential_flat,0,,runs/i5/B_footprint/patterns_snort_1k__enron_corpus__sequential_flat__T0.log,11974,1421183736,5,9401612,997,0,2,1,12206.08,10.086,0.51,2.9377,3899.518,350.2,3870.215,3863.58,3848.091,
B_footprint,patterns_snort,enron_corpus,pthread_chunked_flat,1,,runs/i5/B_footprint/patterns_snort__enron_corpus__pthread_chunked_flat__T1.log,55479,1421183736,5,17853987,4188,1,2,1,56555.52,46.255,0.47,2.1112,5417.375,251.68,5385.211,5392.173,5353.815,
B_footprint,patterns_snort,enron_corpus,pthread_chunked_flat,12,,runs/i5/B_footprint/patterns_snort__enron_corpus__pthread_chunked_flat__T12.log,55479,1421183736,5,17853987,4188,12,2,12,56555.52,46.942,5.79,10.3034,1206.739,1228.26,1103.465,1074.428,1056.337,
