phase,patterns,corpus,searcher,threads_label,tag,thr,bytes,matches,min_ms,mean_ms,median_ms,max_ms,cv_pct,mbps,gbps,wrk,pattern_count,automaton_states,automaton_kib,build_ms,warmup,iters,log_file
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,1,,1,1421183736,58367984,9488.759,9518.189,9506.066,9560.288,0.31,142.40,1.1945,1,44678,508896,518942.72,491.127,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T1.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,10,,10,1421183736,58367984,7063.967,7127.564,7096.825,7250.697,1.04,190.16,1.5951,10,44678,508896,518942.72,530.558,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T10.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,12,,12,1421183736,58367984,7185.025,7375.078,7399.715,7549.837,1.89,183.77,1.5416,12,44678,508896,518942.72,555.268,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T12.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,2,,2,1421183736,58367984,6397.612,7183.551,7582.451,7753.628,8.90,188.67,1.5827,2,44678,508896,518942.72,544.356,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T2.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,4,,4,1421183736,58367984,6830.137,6974.148,7018.399,7064.510,1.34,194.34,1.6302,4,44678,508896,518942.72,484.315,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T4.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,6,,6,1421183736,58367984,5637.670,6542.600,6439.984,7257.647,9.75,207.16,1.7378,6,44678,508896,518942.72,518.650,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T6.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,8,,8,1421183736,58367984,5087.590,5931.752,6166.905,6667.234,10.36,228.49,1.9167,8,44678,508896,518942.72,518.808,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T8.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,1,,1,1421183736,58367984,9527.920,9569.754,9565.386,9601.484,0.31,141.63,1.1881,1,44678,508896,518942.72,491.052,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T1.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,10,,10,1421183736,58367984,3147.673,4024.126,3690.171,5292.481,21.78,336.81,2.8253,10,44678,508896,518942.72,525.863,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T10.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,12,,12,1421183736,58367984,4540.868,4689.305,4678.476,4829.087,2.51,289.03,2.4246,12,44678,508896,518942.72,489.894,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T12.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,2,,2,1421183736,58367984,6605.861,7308.503,7652.897,7705.894,7.07,185.45,1.5556,2,44678,508896,518942.72,516.074,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T2.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,4,,4,1421183736,58367984,4611.762,5235.261,4859.134,6298.317,13.17,258.89,2.1717,4,44678,508896,518942.72,525.658,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T4.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,6,,6,1421183736,58367984,5285.159,5577.645,5635.100,5723.623,3.13,243.00,2.0384,6,44678,508896,518942.72,490.841,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T6.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,8,,8,1421183736,58367984,5244.133,5550.975,5625.971,5714.288,3.29,244.16,2.0482,8,44678,508896,518942.72,529.086,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T8.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked,1,,1,1421183736,58367984,10321.025,10368.987,10369.556,10413.052,0.32,130.71,1.0965,1,44678,508896,518942.72,485.224,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked__T1.log
