# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_corpus.txt --searcher pthread_chunked --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-06-28T02:23:15-03:00
# phase:   D_per_thread
# label:   patterns_snort__enron_corpus__pthread_chunked__T12_perthread

# Aho-Corasick laboratory
# git:        71fb53a
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      1421183736 bytes (1355.35 MiB) via mmap
# build time: 45.196 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked          12   1421183736        962.529       1041.734       1115.160      1301.05   17853987       1047.514     7.34    10.9140     12
#   iter_ms: 962.529 1047.514 1115.160
#   workers=12  median_MB/s=1293.87  ns/byte=0.7330  stdev_ms=76.480
    [t00] 888.735 ms  118431978 bytes  2036470 matches  127.09 MB/s
    [t01] 956.114 ms  118432447 bytes  1369173 matches  118.13 MB/s
    [t02] 912.076 ms  118432447 bytes  1412030 matches  123.83 MB/s
    [t03] 987.492 ms  118432447 bytes  1915595 matches  114.38 MB/s
    [t04] 755.883 ms  118432447 bytes  1350269 matches  149.42 MB/s
    [t05] 967.243 ms  118432447 bytes  1430574 matches  116.77 MB/s
    [t06] 987.617 ms  118432447 bytes  1523450 matches  114.36 MB/s
    [t07] 767.872 ms  118432447 bytes  1181933 matches  147.09 MB/s
    [t08] 766.123 ms  118432447 bytes  1492462 matches  147.43 MB/s
    [t09] 946.850 ms  118432447 bytes  1211997 matches  119.29 MB/s
    [t10] 946.724 ms  118432447 bytes  1387570 matches  119.30 MB/s
    [t11] 753.526 ms  118432447 bytes  1542464 matches  149.89 MB/s

# finished:        2026-06-28T02:23:20-03:00
# elapsed_seconds: 5
# exit_code:       0
