# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_corpus.txt --searcher pthread_chunked_v3 --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-06-28T02:23:27-03:00
# phase:   D_per_thread
# label:   patterns_snort__enron_corpus__pthread_chunked_v3__T12_perthread

# Aho-Corasick laboratory
# git:        71fb53a
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      1421183736 bytes (1355.35 MiB) via mmap
# build time: 45.745 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_v3       12   1421183736       1515.378       1607.974       1754.023       842.89   17853987       1554.521     7.96     7.0707     12
#   iter_ms: 1515.378 1554.521 1754.023
#   workers=12  median_MB/s=871.87  ns/byte=1.1314  stdev_ms=127.988
    [t00] 1668.371 ms  142118400 bytes  2330393 matches  81.24 MB/s
    [t01] 1672.124 ms  142118869 bytes  1652477 matches  81.06 MB/s
    [t02] 1513.835 ms  106589269 bytes  1247630 matches  67.15 MB/s
    [t03] 1498.701 ms  106589269 bytes  1809591 matches  67.83 MB/s
    [t04] 1455.554 ms  106589269 bytes  1147283 matches  69.84 MB/s
    [t05] 1539.025 ms  106589269 bytes  1326740 matches  66.05 MB/s
    [t06] 1547.513 ms  106589269 bytes  1391443 matches  65.69 MB/s
    [t07] 1530.618 ms  106589269 bytes  1095457 matches  66.41 MB/s
    [t08] 1490.861 ms  106589269 bytes  1324267 matches  68.18 MB/s
    [t09] 1424.123 ms  106589269 bytes  1106726 matches  71.38 MB/s
    [t10] 1674.423 ms  142118869 bytes  1548936 matches  80.94 MB/s
    [t11] 1672.187 ms  142118605 bytes  1873044 matches  81.05 MB/s

# finished:        2026-06-28T02:23:35-03:00
# elapsed_seconds: 8
# exit_code:       0
