# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_corpus.txt --searcher pthread_chunked_v3_flat --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-06-28T02:24:02-03:00
# phase:   D_per_thread
# label:   patterns_snort__enron_corpus__pthread_chunked_v3_flat__T12_perthread

# Aho-Corasick laboratory
# git:        71fb53a
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      1421183736 bytes (1355.35 MiB) via mmap
# build time: 62.820 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_v3_flat   12   1421183736        956.643       1279.947       1504.256      1058.91   17853987       1378.942    22.42     8.8828     12
#   iter_ms: 1504.256 1378.942 956.643
#   workers=12  median_MB/s=982.89  ns/byte=0.9006  stdev_ms=286.915
    [t00] 888.200 ms  142118400 bytes  2330393 matches  152.59 MB/s
    [t01] 892.229 ms  142118869 bytes  1652477 matches  151.91 MB/s
    [t02] 898.156 ms  106589269 bytes  1247630 matches  113.18 MB/s
    [t03] 888.680 ms  106589269 bytes  1809591 matches  114.38 MB/s
    [t04] 863.821 ms  106589269 bytes  1147283 matches  117.68 MB/s
    [t05] 918.076 ms  106589269 bytes  1326740 matches  110.72 MB/s
    [t06] 923.123 ms  106589269 bytes  1391443 matches  110.12 MB/s
    [t07] 912.117 ms  106589269 bytes  1095457 matches  111.45 MB/s
    [t08] 885.373 ms  106589269 bytes  1324267 matches  114.81 MB/s
    [t09] 846.932 ms  106589269 bytes  1106726 matches  120.02 MB/s
    [t10] 894.658 ms  142118869 bytes  1548936 matches  151.49 MB/s
    [t11] 887.984 ms  142118605 bytes  1873044 matches  152.63 MB/s

# finished:        2026-06-28T02:24:09-03:00
# elapsed_seconds: 7
# exit_code:       0
