# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_corpus.txt --searcher pthread_prefetch --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-06-28T02:23:44-03:00
# phase:   D_per_thread
# label:   patterns_snort__enron_corpus__pthread_prefetch__T12_perthread

# Aho-Corasick laboratory
# git:        71fb53a
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      1421183736 bytes (1355.35 MiB) via mmap
# build time: 67.917 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_prefetch         12   1421183736       1754.788       1832.658       1893.006       739.55   17853987       1850.180     3.86     6.2038     12
#   iter_ms: 1754.788 1893.006 1850.180
#   workers=12  median_MB/s=732.55  ns/byte=1.2895  stdev_ms=70.756
    [t00] 1637.734 ms  118431978 bytes  2036470 matches  68.96 MB/s
    [t01] 1826.170 ms  118432447 bytes  1369173 matches  61.85 MB/s
    [t02] 1720.730 ms  118432447 bytes  1412030 matches  65.64 MB/s
    [t03] 1757.420 ms  118432447 bytes  1915595 matches  64.27 MB/s
    [t04] 1132.149 ms  118432447 bytes  1350269 matches  99.76 MB/s
    [t05] 1829.440 ms  118432447 bytes  1430574 matches  61.74 MB/s
    [t06] 1815.222 ms  118432447 bytes  1523450 matches  62.22 MB/s
    [t07] 1172.224 ms  118432447 bytes  1181933 matches  96.35 MB/s
    [t08] 1709.098 ms  118432447 bytes  1492462 matches  66.09 MB/s
    [t09] 1812.455 ms  118432447 bytes  1211997 matches  62.32 MB/s
    [t10] 1701.357 ms  118432447 bytes  1387570 matches  66.39 MB/s
    [t11] 1625.497 ms  118432447 bytes  1542464 matches  69.48 MB/s

# finished:        2026-06-28T02:23:54-03:00
# elapsed_seconds: 10
# exit_code:       0
