phase,patterns,corpus,searcher,threads_label,tag,thr,bytes,matches,min_ms,mean_ms,median_ms,max_ms,cv_pct,mbps,gbps,wrk,pattern_count,automaton_states,automaton_kib,build_ms,warmup,iters,log_file
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,1,,1,1421183736,58367984,8986.753,9058.262,9038.237,9222.991,1.06,149.63,1.2551,1,44678,508896,518942.72,454.850,2,5,runs/i5_2026-06-28/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T1.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,10,,10,1421183736,58367984,5431.025,6823.771,6622.268,8184.130,18.98,198.62,1.6662,10,44678,508896,518942.72,451.002,2,5,runs/i5_2026-06-28/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T10.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,12,,12,1421183736,58367984,5435.976,6993.113,6573.893,8591.478,21.14,193.81,1.6258,12,44678,508896,518942.72,564.035,2,5,runs/i5_2026-06-28/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T12.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,2,,2,1421183736,58367984,6246.706,6925.006,6255.482,8938.020,16.80,195.72,1.6418,2,44678,508896,518942.72,586.739,2,5,runs/i5_2026-06-28/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T2.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,4,,4,1421183736,58367984,5640.990,6427.809,5723.377,8171.971,17.16,210.86,1.7688,4,44678,508896,518942.72,580.098,2,5,runs/i5_2026-06-28/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T4.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,6,,6,1421183736,58367984,5994.984,7331.474,7770.482,7911.425,11.04,184.87,1.5508,6,44678,508896,518942.72,459.203,2,5,runs/i5_2026-06-28/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T6.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,8,,8,1421183736,58367984,5035.847,5965.966,5501.856,7606.469,18.50,227.18,1.9057,8,44678,508896,518942.72,567.373,2,5,runs/i5_2026-06-28/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T8.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,1,,1,1421183736,58367984,8975.126,9011.190,9002.944,9063.509,0.36,150.41,1.2617,1,44678,508896,518942.72,445.669,2,5,runs/i5_2026-06-28/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T1.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,10,,10,1421183736,58367984,2996.825,3862.194,3061.012,5598.662,31.04,350.93,2.9438,10,44678,508896,518942.72,524.539,2,5,runs/i5_2026-06-28/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T10.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,12,,12,1421183736,58367984,4953.654,5001.972,5005.770,5064.305,0.85,270.96,2.2730,12,44678,508896,518942.72,456.218,2,5,runs/i5_2026-06-28/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T12.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,2,,2,1421183736,58367984,6248.454,7059.698,6257.572,8464.674,15.78,191.98,1.6105,2,44678,508896,518942.72,596.942,2,5,runs/i5_2026-06-28/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T2.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,4,,4,1421183736,58367984,4559.619,6606.650,7660.476,7733.748,22.83,205.15,1.7209,4,44678,508896,518942.72,465.182,2,5,runs/i5_2026-06-28/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T4.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,6,,6,1421183736,58367984,5821.369,6303.986,6432.491,6719.185,5.60,215.00,1.8035,6,44678,508896,518942.72,453.587,2,5,runs/i5_2026-06-28/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T6.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,8,,8,1421183736,58367984,3829.452,5306.158,5961.979,6151.252,19.85,255.43,2.1427,8,44678,508896,518942.72,455.329,2,5,runs/i5_2026-06-28/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T8.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked,1,,1,1421183736,58367984,9878.418,10611.511,9883.600,12551.751,10.98,127.72,1.0714,1,44678,508896,518942.72,456.262,2,5,runs/i5_2026-06-28/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked__T1.log
