# command: build/aclab --patterns data/patterns_et_32.txt --input data/enron_skew_clustered.txt --searcher pthread_chunked_flat --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-07-02T06:14:44-03:00
# phase:   H_skew
# label:   patterns_et_32__enron_skew_clustered__pthread_chunked_flat__T12_rep04_perthread

# Aho-Corasick laboratory
# git:        172ee0f
# patterns:   44678 (max len 128, min len 5)
# automaton:  508896 states, 506.78 MiB
# input:      4294967296 bytes (4096.00 MiB) via mmap
# build time: 458.603 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_flat     12   4294967296      15613.872      18667.377      20441.064       219.42  141136256      19947.196    14.23     1.8406     12
#   iter_ms: 20441.064 15613.872 19947.196
#   workers=12  median_MB/s=205.34  ns/byte=4.3463  stdev_ms=2655.918
    [t00] 15118.169 ms  357913942 bytes  20415631 matches  22.58 MB/s  cpu=3
    [t01] 15274.028 ms  357914069 bytes  20410795 matches  22.35 MB/s  cpu=2
    [t02] 15205.396 ms  357914069 bytes  20412486 matches  22.45 MB/s  cpu=1
    [t03] 6746.192 ms  357914069 bytes  8877709 matches  50.60 MB/s  cpu=1
    [t04] 5590.898 ms  357914069 bytes  8872311 matches  61.05 MB/s  cpu=2
    [t05] 7756.351 ms  357914069 bytes  8882428 matches  44.01 MB/s  cpu=11
    [t06] 6746.170 ms  357914069 bytes  8877709 matches  50.60 MB/s  cpu=2
    [t07] 5590.983 ms  357914069 bytes  8872311 matches  61.05 MB/s  cpu=1
    [t08] 5619.300 ms  357914069 bytes  8882428 matches  60.74 MB/s  cpu=3
    [t09] 7744.853 ms  357914069 bytes  8877709 matches  44.07 MB/s  cpu=10
    [t10] 7312.777 ms  357914069 bytes  8872311 matches  46.68 MB/s  cpu=7
    [t11] 5618.278 ms  357914061 bytes  8882428 matches  60.75 MB/s  cpu=0

# finished:        2026-07-02T06:16:12-03:00
# elapsed_seconds: 89
# exit_code:       0
