# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_skew_uniform.txt --searcher pthread_chunked_flat --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-07-02T04:40:35-03:00
# phase:   H_skew
# label:   patterns_snort__enron_skew_uniform__pthread_chunked_flat__T12_rep04_perthread

# Aho-Corasick laboratory
# git:        172ee0f
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      4294967296 bytes (4096.00 MiB) via mmap
# build time: 45.615 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_flat     12   4294967296       7435.296       8658.346      10756.102       473.07   94304128       7783.639    21.08     3.9684     12
#   iter_ms: 7435.296 7783.639 10756.102
#   workers=12  median_MB/s=526.23  ns/byte=2.0159  stdev_ms=1825.040
    [t00] 9847.392 ms  357913942 bytes  7625349 matches  34.66 MB/s  cpu=7
    [t01] 10247.026 ms  357914411 bytes  7979872 matches  33.31 MB/s  cpu=0
    [t02] 10343.656 ms  357914411 bytes  7970811 matches  33.00 MB/s  cpu=2
    [t03] 9637.727 ms  357914411 bytes  7625349 matches  35.42 MB/s  cpu=0
    [t04] 9010.916 ms  357914411 bytes  7979872 matches  37.88 MB/s  cpu=0
    [t05] 10290.103 ms  357914411 bytes  7970811 matches  33.17 MB/s  cpu=2
    [t06] 9675.612 ms  357914411 bytes  7625349 matches  35.28 MB/s  cpu=2
    [t07] 9117.884 ms  357914411 bytes  7979872 matches  37.44 MB/s  cpu=3
    [t08] 9012.835 ms  357914411 bytes  7970811 matches  37.87 MB/s  cpu=1
    [t09] 10292.178 ms  357914411 bytes  7625349 matches  33.16 MB/s  cpu=1
    [t10] 10027.857 ms  357914411 bytes  7979872 matches  34.04 MB/s  cpu=2
    [t11] 9169.804 ms  357914403 bytes  7970811 matches  37.22 MB/s  cpu=2

# finished:        2026-07-02T04:41:23-03:00
# elapsed_seconds: 48
# exit_code:       0
