# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_skew_uniform.txt --searcher pthread_chunked_v3 --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-07-02T04:33:45-03:00
# phase:   H_skew
# label:   patterns_snort__enron_skew_uniform__pthread_chunked_v3__T12_rep01_perthread

# Aho-Corasick laboratory
# git:        172ee0f
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      4294967296 bytes (4096.00 MiB) via mmap
# build time: 42.647 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_v3       12   4294967296       8830.932       9662.690      10672.405       423.90   94304128       9484.734     9.66     3.5559     12
#   iter_ms: 10672.405 8830.932 9484.734
#   workers=12  median_MB/s=431.85  ns/byte=2.2498  stdev_ms=933.545
    [t00] 11518.204 ms  429496768 bytes  9218110 matches  35.56 MB/s  cpu=0
    [t01] 12357.396 ms  429497237 bytes  9435230 matches  33.15 MB/s  cpu=2
    [t02] 11770.793 ms  322123029 bytes  7211655 matches  26.10 MB/s  cpu=4
    [t03] 11899.178 ms  322123029 bytes  6929148 matches  25.82 MB/s  cpu=5
    [t04] 11838.881 ms  322123029 bytes  7146989 matches  25.95 MB/s  cpu=6
    [t05] 11963.592 ms  322123029 bytes  7210933 matches  25.68 MB/s  cpu=7
    [t06] 12028.260 ms  322123029 bytes  6865324 matches  25.54 MB/s  cpu=8
    [t07] 12227.818 ms  322123029 bytes  7211655 matches  25.12 MB/s  cpu=9
    [t08] 12014.209 ms  322123029 bytes  6929150 matches  25.57 MB/s  cpu=10
    [t09] 12237.172 ms  322123029 bytes  7146986 matches  25.10 MB/s  cpu=11
    [t10] 11844.639 ms  429497237 bytes  9499896 matches  34.58 MB/s  cpu=1
    [t11] 12368.270 ms  429496981 bytes  9499052 matches  33.12 MB/s  cpu=3

# finished:        2026-07-02T04:34:41-03:00
# elapsed_seconds: 56
# exit_code:       0
