# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_skew_uniform.txt --searcher pthread_chunked_v3 --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-07-02T04:36:27-03:00
# phase:   H_skew
# label:   patterns_snort__enron_skew_uniform__pthread_chunked_v3__T12_rep04_perthread

# Aho-Corasick laboratory
# git:        172ee0f
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      4294967296 bytes (4096.00 MiB) via mmap
# build time: 42.654 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_v3       12   4294967296       8949.538      10331.943      12173.228       396.44   94304128       9873.063    16.07     3.3256     12
#   iter_ms: 9873.063 8949.538 12173.228
#   workers=12  median_MB/s=414.87  ns/byte=2.4056  stdev_ms=1660.113
    [t00] 11730.576 ms  429496768 bytes  9218110 matches  34.92 MB/s  cpu=0
    [t01] 12380.436 ms  429497237 bytes  9435230 matches  33.08 MB/s  cpu=2
    [t02] 12000.287 ms  322123029 bytes  7211655 matches  25.60 MB/s  cpu=4
    [t03] 12031.135 ms  322123029 bytes  6929148 matches  25.53 MB/s  cpu=5
    [t04] 12049.090 ms  322123029 bytes  7146989 matches  25.50 MB/s  cpu=6
    [t05] 12077.504 ms  322123029 bytes  7210933 matches  25.44 MB/s  cpu=7
    [t06] 12047.580 ms  322123029 bytes  6865324 matches  25.50 MB/s  cpu=8
    [t07] 12229.645 ms  322123029 bytes  7211655 matches  25.12 MB/s  cpu=9
    [t08] 12042.255 ms  322123029 bytes  6929150 matches  25.51 MB/s  cpu=10
    [t09] 12256.418 ms  322123029 bytes  7146986 matches  25.06 MB/s  cpu=11
    [t10] 11998.198 ms  429497237 bytes  9499896 matches  34.14 MB/s  cpu=1
    [t11] 12388.235 ms  429496981 bytes  9499052 matches  33.06 MB/s  cpu=3

# finished:        2026-07-02T04:37:24-03:00
# elapsed_seconds: 57
# exit_code:       0
