# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_corpus.txt --searcher pthread_prefetch --threads 32 --warmup 1 --iters 3 --per-thread
# started: 2026-06-30T22:06:49-03:00
# phase:   D_per_thread
# label:   patterns_snort__enron_corpus__pthread_prefetch__T32_perthread

# Aho-Corasick laboratory
# git:        c19da78
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      1421183736 bytes (1355.35 MiB) via mmap
# build time: 27.975 ms
# warmup=1 iters=3 threads=32 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_prefetch         32   1421183736        191.629        192.600        194.023      7037.11   17853987        192.147     0.65    59.0316     32
#   iter_ms: 194.023 192.147 191.629
#   workers=32  median_MB/s=7053.69  ns/byte=0.1355  stdev_ms=1.260
    [t00] 165.602 ms  44411992 bytes  466299 matches  255.76 MB/s
    [t01] 160.066 ms  44412461 bytes  500638 matches  264.61 MB/s
    [t02] 164.380 ms  44412461 bytes  1238050 matches  257.67 MB/s
    [t03] 157.749 ms  44412461 bytes  520057 matches  268.50 MB/s
    [t04] 171.099 ms  44412461 bytes  607536 matches  247.55 MB/s
    [t05] 163.446 ms  44412461 bytes  603070 matches  259.14 MB/s
    [t06] 170.442 ms  44412461 bytes  470043 matches  248.50 MB/s
    [t07] 157.697 ms  44412461 bytes  487021 matches  268.59 MB/s
    [t08] 164.330 ms  44412461 bytes  566197 matches  257.74 MB/s
    [t09] 151.539 ms  44412461 bytes  485369 matches  279.50 MB/s
    [t10] 165.305 ms  44412461 bytes  535592 matches  256.22 MB/s
    [t11] 160.362 ms  44412461 bytes  551861 matches  264.12 MB/s
    [t12] 159.224 ms  44412461 bytes  441535 matches  266.01 MB/s
    [t13] 157.493 ms  44412461 bytes  556295 matches  268.93 MB/s
    [t14] 168.559 ms  44412461 bytes  650921 matches  251.28 MB/s
    [t15] 159.431 ms  44412461 bytes  550979 matches  265.66 MB/s
    [t16] 164.068 ms  44412461 bytes  505025 matches  258.15 MB/s
    [t17] 160.272 ms  44412461 bytes  457468 matches  264.27 MB/s
    [t18] 162.836 ms  44412461 bytes  530082 matches  260.11 MB/s
    [t19] 156.880 ms  44412461 bytes  465413 matches  269.98 MB/s
    [t20] 162.616 ms  44412461 bytes  421686 matches  260.46 MB/s
    [t21] 158.952 ms  44412461 bytes  548016 matches  266.46 MB/s
    [t22] 161.681 ms  44412461 bytes  522796 matches  261.97 MB/s
    [t23] 157.620 ms  44412461 bytes  495198 matches  268.72 MB/s
    [t24] 166.161 ms  44412461 bytes  550979 matches  254.90 MB/s
    [t25] 151.538 ms  44412461 bytes  453897 matches  279.50 MB/s
    [t26] 162.646 ms  44412461 bytes  491182 matches  260.41 MB/s
    [t27] 161.014 ms  44412461 bytes  429590 matches  263.05 MB/s
    [t28] 167.868 ms  44412461 bytes  413927 matches  252.31 MB/s
    [t29] 157.353 ms  44412461 bytes  735934 matches  269.17 MB/s
    [t30] 166.189 ms  44412461 bytes  1052401 matches  254.86 MB/s
    [t31] 156.676 ms  44412453 bytes  548930 matches  270.34 MB/s

# finished:        2026-06-30T22:06:50-03:00
# elapsed_seconds: 1
# exit_code:       0
