# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_corpus.txt --searcher pthread_chunked_v3_flat --threads 32 --warmup 1 --iters 3 --per-thread
# started: 2026-06-29T20:35:49-03:00
# phase:   D_per_thread
# label:   patterns_snort__enron_corpus__pthread_chunked_v3_flat__T32_perthread

# Aho-Corasick laboratory
# git:        82dc697
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      1421183736 bytes (1355.35 MiB) via mmap
# build time: 26.192 ms
# warmup=1 iters=3 threads=32 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_v3_flat   32   1421183736        182.026        182.988        184.301      7406.76   17853987        182.637     0.64    62.1324     32
#   iter_ms: 184.301 182.637 182.026
#   workers=32  median_MB/s=7420.99  ns/byte=0.1288  stdev_ms=1.177
    [t00] 150.305 ms  44412032 bytes  466299 matches  281.79 MB/s
    [t01] 154.641 ms  44412501 bytes  500645 matches  273.89 MB/s
    [t02] 150.378 ms  44412501 bytes  1238043 matches  281.66 MB/s
    [t03] 150.668 ms  44412501 bytes  520060 matches  281.12 MB/s
    [t04] 156.979 ms  44412501 bytes  607545 matches  269.81 MB/s
    [t05] 155.100 ms  44412501 bytes  603058 matches  273.08 MB/s
    [t06] 155.585 ms  44412501 bytes  470048 matches  272.23 MB/s
    [t07] 149.413 ms  44412501 bytes  487016 matches  283.48 MB/s
    [t08] 157.508 ms  44412501 bytes  566198 matches  268.91 MB/s
    [t09] 150.694 ms  44412501 bytes  485371 matches  281.07 MB/s
    [t10] 156.781 ms  44412501 bytes  535601 matches  270.16 MB/s
    [t11] 160.409 ms  44412501 bytes  551857 matches  264.04 MB/s
    [t12] 151.150 ms  44412501 bytes  441530 matches  280.22 MB/s
    [t13] 155.994 ms  44412501 bytes  556298 matches  271.52 MB/s
    [t14] 160.165 ms  44412501 bytes  650919 matches  264.45 MB/s
    [t15] 157.304 ms  44412501 bytes  550984 matches  269.26 MB/s
    [t16] 150.374 ms  44412501 bytes  505016 matches  281.66 MB/s
    [t17] 154.872 ms  44412501 bytes  457477 matches  273.49 MB/s
    [t18] 150.133 ms  44412501 bytes  530080 matches  282.12 MB/s
    [t19] 149.987 ms  44412501 bytes  465409 matches  282.39 MB/s
    [t20] 148.546 ms  44412501 bytes  421685 matches  285.13 MB/s
    [t21] 150.640 ms  44412501 bytes  548016 matches  281.17 MB/s
    [t22] 148.889 ms  44412501 bytes  522795 matches  284.48 MB/s
    [t23] 148.821 ms  44412501 bytes  495202 matches  284.60 MB/s
    [t24] 159.183 ms  44412501 bytes  550994 matches  266.08 MB/s
    [t25] 151.099 ms  44412501 bytes  453877 matches  280.31 MB/s
    [t26] 154.199 ms  44412501 bytes  491194 matches  274.68 MB/s
    [t27] 161.334 ms  44412501 bytes  429594 matches  262.53 MB/s
    [t28] 158.830 ms  44412501 bytes  413916 matches  266.67 MB/s
    [t29] 156.520 ms  44412501 bytes  735946 matches  270.60 MB/s
    [t30] 156.459 ms  44412501 bytes  1052396 matches  270.71 MB/s
    [t31] 154.311 ms  44411213 bytes  548918 matches  274.47 MB/s

# finished:        2026-06-29T20:35:50-03:00
# elapsed_seconds: 1
# exit_code:       0
