phase,patterns,corpus,searcher,threads_label,tag,thr,bytes,matches,min_ms,mean_ms,median_ms,max_ms,cv_pct,mbps,gbps,wrk,pattern_count,automaton_states,automaton_kib,build_ms,warmup,iters,log_file
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_flat,1,,1,11369469888,466943872,48420.523,48426.281,48425.771,48431.338,0.01,223.90,1.8782,1,44678,508896,518942.72,308.134,2,8,runs/workstation/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_flat__T1.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_flat,16,,16,11369469888,466943872,3925.211,3931.422,3930.443,3938.746,0.11,2757.98,23.1356,16,44678,508896,518942.72,328.096,2,8,runs/workstation/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_flat__T16.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_flat,2,,2,11369469888,466943872,24962.814,24981.524,24978.835,24999.403,0.05,434.03,3.6409,2,44678,508896,518942.72,327.517,2,8,runs/workstation/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_flat__T2.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_flat,24,,24,11369469888,466943872,3099.049,3139.687,3140.634,3166.979,0.62,3453.46,28.9697,24,44678,508896,518942.72,315.594,2,8,runs/workstation/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_flat__T24.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_flat,32,,32,11369469888,466943872,2567.578,2595.936,2597.098,2617.841,0.60,4176.83,35.0377,32,44678,508896,518942.72,314.784,2,8,runs/workstation/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_flat__T32.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_flat,4,,4,11369469888,466943872,13330.909,13340.509,13337.176,13353.766,0.07,812.77,6.8180,4,44678,508896,518942.72,318.682,2,8,runs/workstation/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_flat__T4.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_flat,8,,8,11369469888,466943872,7021.736,7027.596,7027.739,7035.722,0.06,1542.88,12.9427,8,44678,508896,518942.72,321.157,2,8,runs/workstation/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_flat__T8.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v2,1,,1,11369469888,466943872,51562.587,51568.475,51567.847,51575.648,0.01,210.26,1.7638,1,44678,508896,518942.72,309.741,2,8,runs/workstation/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v2__T1.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v2,16,,16,11369469888,466943872,4135.710,4141.414,4141.738,4146.133,0.08,2618.13,21.9625,16,44678,508896,518942.72,325.028,2,8,runs/workstation/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v2__T16.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v2,2,,2,11369469888,466943872,26570.374,26675.176,26695.898,26713.313,0.18,406.47,3.4098,2,44678,508896,518942.72,303.830,2,8,runs/workstation/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v2__T2.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v2,24,,24,11369469888,466943872,3308.797,3333.625,3328.386,3370.645,0.74,3252.55,27.2843,24,44678,508896,518942.72,319.271,2,8,runs/workstation/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v2__T24.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v2,32,,32,11369469888,466943872,2752.702,2765.280,2759.646,2794.079,0.54,3921.04,32.8921,32,44678,508896,518942.72,324.995,2,8,runs/workstation/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v2__T32.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v2,4,,4,11369469888,466943872,14202.783,14213.610,14211.574,14229.671,0.07,762.84,6.3992,4,44678,508896,518942.72,325.852,2,8,runs/workstation/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v2__T4.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v2,8,,8,11369469888,466943872,7457.788,7468.164,7470.390,7477.710,0.10,1451.87,12.1791,8,44678,508896,518942.72,316.644,2,8,runs/workstation/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v2__T8.log
A_speedup_curves,patterns_et_32,enron_x8,pthread_dynamic,1,,1,11369469888,466943872,51573.110,51576.289,51576.114,51579.206,0.00,210.23,1.7635,1,44678,508896,518942.72,306.036,2,8,runs/workstation/A_speedup_curves/patterns_et_32__enron_x8__pthread_dynamic__T1.log
