# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_corpus.txt --searcher pthread_chunked --threads 32 --warmup 1 --iters 3 --per-thread
# started: 2026-06-29T20:35:42-03:00
# phase:   D_per_thread
# label:   patterns_snort__enron_corpus__pthread_chunked__T32_perthread

# Aho-Corasick laboratory
# git:        82dc697
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      1421183736 bytes (1355.35 MiB) via mmap
# build time: 30.593 ms
# warmup=1 iters=3 threads=32 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked          32   1421183736        193.946        194.793        195.958      6957.89   17853987        194.475     0.54    58.3670     32
#   iter_ms: 195.958 194.475 193.946
#   workers=32  median_MB/s=6969.27  ns/byte=0.1371  stdev_ms=1.043
    [t00] 167.611 ms  44411992 bytes  466299 matches  252.70 MB/s
    [t01] 163.410 ms  44412461 bytes  500638 matches  259.19 MB/s
    [t02] 167.677 ms  44412461 bytes  1238050 matches  252.60 MB/s
    [t03] 162.803 ms  44412461 bytes  520057 matches  260.16 MB/s
    [t04] 172.839 ms  44412461 bytes  607536 matches  245.06 MB/s
    [t05] 166.461 ms  44412461 bytes  603070 matches  254.44 MB/s
    [t06] 172.851 ms  44412461 bytes  470043 matches  245.04 MB/s
    [t07] 160.565 ms  44412461 bytes  487021 matches  263.79 MB/s
    [t08] 167.759 ms  44412461 bytes  566197 matches  252.47 MB/s
    [t09] 154.818 ms  44412461 bytes  485369 matches  273.58 MB/s
    [t10] 168.064 ms  44412461 bytes  535592 matches  252.02 MB/s
    [t11] 164.155 ms  44412461 bytes  551861 matches  258.02 MB/s
    [t12] 162.390 ms  44412461 bytes  441535 matches  260.82 MB/s
    [t13] 162.260 ms  44412461 bytes  556295 matches  261.03 MB/s
    [t14] 170.535 ms  44412461 bytes  650921 matches  248.37 MB/s
    [t15] 162.203 ms  44412461 bytes  550979 matches  261.12 MB/s
    [t16] 167.004 ms  44412461 bytes  505025 matches  253.62 MB/s
    [t17] 163.626 ms  44412461 bytes  457468 matches  258.85 MB/s
    [t18] 165.423 ms  44412461 bytes  530082 matches  256.04 MB/s
    [t19] 162.068 ms  44412461 bytes  465413 matches  261.34 MB/s
    [t20] 165.979 ms  44412461 bytes  421686 matches  255.18 MB/s
    [t21] 160.697 ms  44412461 bytes  548016 matches  263.57 MB/s
    [t22] 165.643 ms  44412461 bytes  522796 matches  255.70 MB/s
    [t23] 160.545 ms  44412461 bytes  495198 matches  263.82 MB/s
    [t24] 169.294 ms  44412461 bytes  550979 matches  250.19 MB/s
    [t25] 154.836 ms  44412461 bytes  453897 matches  273.55 MB/s
    [t26] 164.758 ms  44412461 bytes  491182 matches  257.07 MB/s
    [t27] 164.971 ms  44412461 bytes  429590 matches  256.74 MB/s
    [t28] 171.845 ms  44412461 bytes  413927 matches  246.47 MB/s
    [t29] 163.463 ms  44412461 bytes  735934 matches  259.11 MB/s
    [t30] 170.647 ms  44412461 bytes  1052401 matches  248.20 MB/s
    [t31] 159.528 ms  44412453 bytes  548930 matches  265.50 MB/s

# finished:        2026-06-29T20:35:43-03:00
# elapsed_seconds: 1
# exit_code:       0
