# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_corpus.txt --searcher pthread_chunked_flat --threads 32 --warmup 1 --iters 3 --per-thread
# started: 2026-06-29T20:35:48-03:00
# phase:   D_per_thread
# label:   patterns_snort__enron_corpus__pthread_chunked_flat__T32_perthread

# Aho-Corasick laboratory
# git:        82dc697
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      1421183736 bytes (1355.35 MiB) via mmap
# build time: 30.788 ms
# warmup=1 iters=3 threads=32 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_flat     32   1421183736        181.558        183.022        184.656      7405.37   17853987        182.852     0.85    62.1208     32
#   iter_ms: 184.656 182.852 181.558
#   workers=32  median_MB/s=7412.26  ns/byte=0.1288  stdev_ms=1.556
    [t00] 149.646 ms  44411992 bytes  466299 matches  283.03 MB/s
    [t01] 158.396 ms  44412461 bytes  500638 matches  267.40 MB/s
    [t02] 149.855 ms  44412461 bytes  1238050 matches  282.64 MB/s
    [t03] 155.255 ms  44412461 bytes  520057 matches  272.81 MB/s
    [t04] 155.816 ms  44412461 bytes  607536 matches  271.83 MB/s
    [t05] 161.086 ms  44412461 bytes  603070 matches  262.93 MB/s
    [t06] 155.113 ms  44412461 bytes  470043 matches  273.06 MB/s
    [t07] 155.936 ms  44412461 bytes  487021 matches  271.62 MB/s
    [t08] 151.359 ms  44412461 bytes  566197 matches  279.83 MB/s
    [t09] 149.148 ms  44412461 bytes  485369 matches  283.98 MB/s
    [t10] 150.687 ms  44412461 bytes  535592 matches  281.08 MB/s
    [t11] 159.765 ms  44412461 bytes  551861 matches  265.11 MB/s
    [t12] 145.596 ms  44412461 bytes  441535 matches  290.91 MB/s
    [t13] 155.470 ms  44412461 bytes  556295 matches  272.43 MB/s
    [t14] 154.769 ms  44412461 bytes  650921 matches  273.67 MB/s
    [t15] 156.491 ms  44412461 bytes  550979 matches  270.65 MB/s
    [t16] 148.991 ms  44412461 bytes  505025 matches  284.28 MB/s
    [t17] 158.448 ms  44412461 bytes  457468 matches  267.31 MB/s
    [t18] 149.985 ms  44412461 bytes  530082 matches  282.40 MB/s
    [t19] 154.554 ms  44412461 bytes  465413 matches  274.05 MB/s
    [t20] 147.701 ms  44412461 bytes  421686 matches  286.76 MB/s
    [t21] 156.912 ms  44412461 bytes  548016 matches  269.93 MB/s
    [t22] 148.599 ms  44412461 bytes  522796 matches  285.03 MB/s
    [t23] 155.299 ms  44412461 bytes  495198 matches  272.73 MB/s
    [t24] 151.501 ms  44412461 bytes  550979 matches  279.57 MB/s
    [t25] 149.480 ms  44412461 bytes  453897 matches  283.35 MB/s
    [t26] 148.148 ms  44412461 bytes  491182 matches  285.90 MB/s
    [t27] 160.632 ms  44412461 bytes  429590 matches  263.68 MB/s
    [t28] 153.855 ms  44412461 bytes  413927 matches  275.29 MB/s
    [t29] 155.699 ms  44412461 bytes  735934 matches  272.03 MB/s
    [t30] 152.878 ms  44412461 bytes  1052401 matches  277.05 MB/s
    [t31] 153.625 ms  44412453 bytes  548930 matches  275.70 MB/s

# finished:        2026-06-29T20:35:49-03:00
# elapsed_seconds: 1
# exit_code:       0
