# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_corpus.txt --searcher pthread_prefetch --threads 32 --warmup 1 --iters 3 --per-thread
# started: 2026-06-29T20:35:47-03:00
# phase:   D_per_thread
# label:   patterns_snort__enron_corpus__pthread_prefetch__T32_perthread

# Aho-Corasick laboratory
# git:        82dc697
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      1421183736 bytes (1355.35 MiB) via mmap
# build time: 28.722 ms
# warmup=1 iters=3 threads=32 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_prefetch         32   1421183736        190.290        192.707        194.050      7033.18   17853987        193.782     1.09    58.9986     32
#   iter_ms: 194.050 193.782 190.290
#   workers=32  median_MB/s=6994.16  ns/byte=0.1356  stdev_ms=2.098
    [t00] 164.103 ms  44411992 bytes  466299 matches  258.10 MB/s
    [t01] 160.791 ms  44412461 bytes  500638 matches  263.42 MB/s
    [t02] 164.660 ms  44412461 bytes  1238050 matches  257.23 MB/s
    [t03] 157.753 ms  44412461 bytes  520057 matches  268.49 MB/s
    [t04] 171.280 ms  44412461 bytes  607536 matches  247.28 MB/s
    [t05] 163.478 ms  44412461 bytes  603070 matches  259.09 MB/s
    [t06] 169.810 ms  44412461 bytes  470043 matches  249.43 MB/s
    [t07] 155.974 ms  44412461 bytes  487021 matches  271.55 MB/s
    [t08] 164.960 ms  44412461 bytes  566197 matches  256.76 MB/s
    [t09] 152.147 ms  44412461 bytes  485369 matches  278.38 MB/s
    [t10] 165.218 ms  44412461 bytes  535592 matches  256.36 MB/s
    [t11] 161.457 ms  44412461 bytes  551861 matches  262.33 MB/s
    [t12] 160.665 ms  44412461 bytes  441535 matches  263.62 MB/s
    [t13] 158.473 ms  44412461 bytes  556295 matches  267.27 MB/s
    [t14] 169.371 ms  44412461 bytes  650921 matches  250.07 MB/s
    [t15] 158.981 ms  44412461 bytes  550979 matches  266.42 MB/s
    [t16] 164.189 ms  44412461 bytes  505025 matches  257.96 MB/s
    [t17] 160.767 ms  44412461 bytes  457468 matches  263.46 MB/s
    [t18] 163.824 ms  44412461 bytes  530082 matches  258.54 MB/s
    [t19] 157.000 ms  44412461 bytes  465413 matches  269.78 MB/s
    [t20] 162.425 ms  44412461 bytes  421686 matches  260.77 MB/s
    [t21] 159.259 ms  44412461 bytes  548016 matches  265.95 MB/s
    [t22] 162.946 ms  44412461 bytes  522796 matches  259.93 MB/s
    [t23] 157.702 ms  44412461 bytes  495198 matches  268.58 MB/s
    [t24] 166.211 ms  44412461 bytes  550979 matches  254.83 MB/s
    [t25] 152.030 ms  44412461 bytes  453897 matches  278.60 MB/s
    [t26] 163.152 ms  44412461 bytes  491182 matches  259.60 MB/s
    [t27] 160.887 ms  44412461 bytes  429590 matches  263.26 MB/s
    [t28] 167.603 ms  44412461 bytes  413927 matches  252.71 MB/s
    [t29] 158.243 ms  44412461 bytes  735934 matches  267.66 MB/s
    [t30] 166.703 ms  44412461 bytes  1052401 matches  254.07 MB/s
    [t31] 156.523 ms  44412453 bytes  548930 matches  270.60 MB/s

# finished:        2026-06-29T20:35:48-03:00
# elapsed_seconds: 1
# exit_code:       0
