phase,patterns,corpus,searcher,threads_label,tag,thr,bytes,matches,min_ms,mean_ms,median_ms,max_ms,cv_pct,mbps,gbps,wrk,pattern_count,automaton_states,automaton_kib,build_ms,warmup,iters,log_file
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,1,,1,1421183736,58367984,5930.774,5931.053,5930.963,5931.762,0.01,228.52,1.9169,1,44678,508896,518942.72,316.611,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T1.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,10,,10,1421183736,58367984,2475.060,2479.991,2480.242,2486.432,0.17,546.51,4.5845,10,44678,508896,518942.72,317.769,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T10.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,12,,12,1421183736,58367984,2640.184,2646.124,2647.361,2650.402,0.15,512.20,4.2967,12,44678,508896,518942.72,357.867,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T12.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,14,,14,1421183736,58367984,2721.152,2727.128,2728.263,2732.263,0.16,496.99,4.1690,14,44678,508896,518942.72,356.173,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T14.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,16,,16,1421183736,58367984,2488.238,2491.523,2491.515,2494.907,0.10,543.98,4.5633,16,44678,508896,518942.72,356.264,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T16.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,18,,18,1421183736,58367984,2460.702,2463.271,2463.840,2465.725,0.09,550.22,4.6156,18,44678,508896,518942.72,332.784,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T18.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,2,,2,1421183736,58367984,4071.238,4073.666,4074.708,4075.084,0.04,332.71,2.7910,2,44678,508896,518942.72,344.615,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T2.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,20,,20,1421183736,58367984,2463.994,2496.999,2502.515,2508.956,0.75,542.79,4.5533,20,44678,508896,518942.72,338.946,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T20.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,22,,22,1421183736,58367984,2452.195,2486.421,2463.808,2586.745,2.27,545.10,4.5726,22,44678,508896,518942.72,327.015,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T22.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,24,,24,1421183736,58367984,2462.016,2525.318,2481.112,2642.824,3.15,536.70,4.5022,24,44678,508896,518942.72,352.468,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T24.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,26,,26,1421183736,58367984,2510.196,2570.742,2517.917,2664.879,3.09,527.22,4.4226,26,44678,508896,518942.72,333.203,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T26.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,28,,28,1421183736,58367984,2610.619,2706.020,2762.558,2773.514,3.11,500.86,4.2015,28,44678,508896,518942.72,322.026,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T28.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,30,,30,1421183736,58367984,2558.680,2569.190,2565.557,2585.949,0.40,527.54,4.4253,30,44678,508896,518942.72,326.532,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T30.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,32,,32,1421183736,58367984,2531.337,2539.882,2542.730,2543.413,0.20,533.63,4.4764,32,44678,508896,518942.72,333.944,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T32.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,4,,4,1421183736,58367984,3080.852,3084.807,3081.812,3090.991,0.15,439.36,3.6856,4,44678,508896,518942.72,341.906,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T4.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,6,,6,1421183736,58367984,2854.293,2859.077,2861.907,2862.210,0.14,474.05,3.9766,6,44678,508896,518942.72,332.115,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T6.log
A_speedup_curves,patterns_et_32,enron_corpus,pattern_sharded_prefix,8,,8,1421183736,58367984,2515.559,2521.242,2521.006,2527.449,0.19,537.57,4.5095,8,44678,508896,518942.72,336.116,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pattern_sharded_prefix__T8.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,1,,1,1421183736,58367984,5993.274,6029.596,6038.240,6039.409,0.34,224.78,1.8856,1,44678,508896,518942.72,313.757,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T1.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,10,,10,1421183736,58367984,909.974,911.857,911.336,914.543,0.19,1486.36,12.4685,10,44678,508896,518942.72,352.598,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T10.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,12,,12,1421183736,58367984,771.310,780.359,779.957,790.241,0.98,1736.82,14.5695,12,44678,508896,518942.72,335.107,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T12.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,14,,14,1421183736,58367984,689.507,692.638,691.025,695.897,0.43,1956.79,16.4147,14,44678,508896,518942.72,333.541,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T14.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,16,,16,1421183736,58367984,619.835,627.224,629.141,630.531,0.69,2160.86,18.1266,16,44678,508896,518942.72,350.594,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T16.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,18,,18,1421183736,58367984,635.599,643.469,647.488,648.812,1.02,2106.31,17.6690,18,44678,508896,518942.72,323.259,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T18.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,2,,2,1421183736,58367984,4081.149,4084.688,4084.608,4090.863,0.10,331.81,2.7834,2,44678,508896,518942.72,317.362,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T2.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,20,,20,1421183736,58367984,592.267,596.854,598.780,599.593,0.57,2270.82,19.0490,20,44678,508896,518942.72,361.575,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T20.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_2d_sharded_chunked,22,,22,1421183736,58367984,552.512,555.163,553.384,562.299,0.74,2441.35,20.4795,22,44678,508896,518942.72,327.646,2,5,runs/workstation_2026-06-30/A_speedup_curves/patterns_et_32__enron_corpus__pthread_2d_sharded_chunked__T22.log
